0 16.662 16.662
1 14.736 16.054
2 13.282 15.2
3 13.454 16.21
4 12.946 16.25
5 11.666 16.008
6 11.138 15.956
7 10.412 16.162
8 10.714 16.254
9 9.434 15.54
10 10.162 16.01
11 9.344 15.278
12 9.458 15.784
13 8.73 15.928
14 8.54 15.694
15 8.86 15.52
16 8.92 15.734
17 8.02 15.692
18 7.742 15.654
19 7.836 16.232
20 7.89 15.666
21 7.624 16.012
22 7.086 16.22
23 7.17 16.042
24 7.104 16.744
25 7.228 16.702
26 7.33 15.972
27 6.62 15.612
28 7.192 16.212
29 6.7 15.162
30 6.49 15.898
31 6.51 15.77
32 6.67 15.65
33 6.602 15.984
34 6.202 15.784
35 5.946 15.926
36 6.336 16.376
37 5.854 15.904
38 6.15 16.134
39 5.928 15.946
40 5.97 16.272
41 6.32 15.73
42 6.35 16.378
43 5.518 15.734
44 5.762 16.25
45 5.3 15.552
46 5.526 15.626
47 5.656 15.482
48 5.492 16.314
49 5.516 15.684
50 5.42 16.68
51 5.556 15.578
52 5.674 16.276
53 5.312 15.97
54 5.372 16.178
55 5.27 15.868
56 5.134 15.526
57 5.112 16.44
58 4.98 15.7
59 4.938 15.4
60 5.078 16.138
61 5.068 15.804
62 5.354 15.772
63 4.822 15.914
64 5.084 15.748
65 4.864 16.042
66 4.71 16.03
67 4.928 16.092
68 4.882 15.786
69 4.948 15.962
70 4.976 16.19
71 4.768 15.224
72 4.818 16.248
73 4.466 15.546
74 5.084 16.342
75 4.716 15.758
76 4.648 15.454
77 4.376 15.498
78 4.78 16.032
79 4.714 15.662
80 4.62 16.448
81 4.366 16.298
82 4.556 15.658
83 4.602 15.746
84 4.614 16.408
85 4.858 16.556
86 4.63 16.91
87 4.462 16.196
88 4.484 16.318
89 4.532 16.39
90 4.306 15.248
91 3.94 15.816
92 4.534 16.066
93 4.558 16.506
94 4.118 15.582
95 4.192 16.216
96 3.974 16.056
97 4.01 15.926
98 4.26 16.022
99 4.144 15.414

