0 16.036 16.036
1 10.934 15.546
2 9.172 15.954
3 9.08 16.574
4 7.664 15.826
5 7.644 16.07
6 7.24 15.908
7 6.324 15.992
8 6.854 15.236
9 7.034 16.03
10 6.794 15.874
11 6.022 15.666
12 6.096 16.524
13 6.488 15.854
14 6.01 15.24
15 5.884 15.8
16 5.9 15.558
17 5.754 16.688
18 5.394 15.726
19 5.344 16.04
20 4.992 15.826
21 5.482 16.144
22 5.346 16.722
23 5.218 15.834
24 5.326 15.85
25 4.98 15.88
26 5.174 16.65
27 5.27 16.254
28 4.94 15.842
29 4.544 15.21
30 4.966 16.026
31 4.802 15.928
32 5.032 16.566
33 4.586 16.096
34 4.992 15.93
35 5.038 16.028
36 4.756 15.992
37 4.908 15.188
38 4.794 16.038
39 4.538 15.434
40 4.844 15.118
41 4.968 16.444
42 4.452 15.958
43 4.824 15.842
44 4.316 15.79
45 4.4 16.218
46 4.66 16.576
47 4.508 15.95
48 4.472 16.042
49 4.45 16.562
50 4.502 15.734
51 4.304 15.782
52 4.238 15.7
53 4.612 15.42
54 4.13 16.142
55 4.394 15.668
56 4.312 16.092
57 4.348 16.432
58 4.336 15.036
59 4.026 15.876
60 4.324 16.036
61 4.102 15.868
62 4.004 16.03
63 4.212 15.306
64 3.968 15.996
65 4.142 16.29
66 3.998 15.024
67 4.022 15.772
68 4.3 16.032
69 4.018 15.764
70 4.45 16.978
71 4.11 15.884
72 4.27 16.15
73 4.218 15.86
74 4.148 16.544
75 4.11 15.918
76 4.304 15.724
77 3.84 15.726
78 4.348 16.546
79 3.796 16.576
80 3.68 15.646
81 4.03 16.234
82 3.876 15.576
83 4.058 16.534
84 3.974 15.646
85 4.31 15.868
86 4.008 15.58
87 3.968 16.12
88 4.022 16.324
89 3.916 16.692
90 3.552 15.704
91 3.86 16.326
92 3.914 16.062
93 3.774 16.062
94 4.104 16.018
95 3.724 15.938
96 3.84 16.376
97 4.0 16.144
98 3.86 16.646
99 3.844 16.082

